weight_investment,weight_cost,weight_delay,rate_same_landuse_2010
0.2,0.2,0.2,0.33472527472527475
0.2,0.2,0.5,0.38879120879120876
0.2,0.2,0.8,0.38505494505494503
0.2,0.5,0.2,0.3342857142857143
0.2,0.5,0.5,0.38505494505494503
0.2,0.5,0.8,0.37758241758241756
0.2,0.8,0.2,0.3367032967032967
0.2,0.8,0.5,0.37846153846153846
0.2,0.8,0.8,0.37274725274725273
0.5,0.2,0.2,0.327032967032967
0.5,0.2,0.5,0.38483516483516483
0.5,0.2,0.8,0.38505494505494503
0.5,0.5,0.2,0.3241758241758242
0.5,0.5,0.5,0.38593406593406593
0.5,0.5,0.8,0.3810989010989011
0.5,0.8,0.2,0.327032967032967
0.5,0.8,0.5,0.3802197802197802
0.5,0.8,0.8,0.37450549450549453
0.8,0.2,0.2,0.3263736263736264
0.8,0.2,0.5,0.40285714285714286
0.8,0.2,0.8,0.38571428571428573
0.8,0.5,0.2,0.3158241758241758
0.8,0.5,0.5,0.39076923076923076
0.8,0.5,0.8,0.3841758241758242
0.8,0.8,0.2,0.32153846153846155
0.8,0.8,0.5,0.38483516483516483
0.8,0.8,0.8,0.37252747252747254
